Produto,Região,Preço,Dia,Mês,Ano,Data
Alface Lisa,Mogi das Cruzes,"R$ 5,50",4,10,2013,2013-10-04 00:00:00
Alface Americana,Ibiúna,"R$ 5,00",4,10,2013,2013-10-04 00:00:00
Alface Crespa,Ibiúna,"R$ 5,00",4,10,2013,2013-10-04 00:00:00
Alface Lisa,Ibiúna,"R$ 5,00",4,10,2013,2013-10-04 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 5,60",11,10,2013,2013-10-11 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 5,00",11,10,2013,2013-10-11 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 6,00",11,10,2013,2013-10-11 00:00:00
Alface Americana,Ibiúna,"R$ 7,50",11,10,2013,2013-10-11 00:00:00
Alface Crespa,Ibiúna,"R$ 6,00",11,10,2013,2013-10-11 00:00:00
Alface Lisa,Ibiúna,"R$ 6,00",11,10,2013,2013-10-11 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 8,00",18,10,2013,2013-10-18 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 4,75",18,10,2013,2013-10-18 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 5,33",18,10,2013,2013-10-18 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 7,40",25,10,2013,2013-10-25 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 5,40",25,10,2013,2013-10-25 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 5,67",25,10,2013,2013-10-25 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 7,00",30,10,2013,2013-10-30 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 5,50",30,10,2013,2013-10-30 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 5,33",30,10,2013,2013-10-30 00:00:00
Alface Americana,Ibiúna,"R$ 6,00",30,10,2013,2013-10-30 00:00:00
Alface Crespa,Ibiúna,"R$ 6,00",30,10,2013,2013-10-30 00:00:00
Alface Lisa,Ibiúna,"R$ 6,00",30,10,2013,2013-10-30 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 9,00",8,11,2013,2013-11-08 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 7,33",8,11,2013,2013-11-08 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,00",8,11,2013,2013-11-08 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 8,17",13,11,2013,2013-11-13 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 5,83",13,11,2013,2013-11-13 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 6,25",13,11,2013,2013-11-13 00:00:00
Alface Americana,Ibiúna,"R$ 7,00",13,11,2013,2013-11-13 00:00:00
Alface Crespa,Ibiúna,"R$ 7,00",13,11,2013,2013-11-13 00:00:00
Alface Lisa,Ibiúna,"R$ 7,00",13,11,2013,2013-11-13 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 14,00",18,11,2013,2013-11-18 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 8,60",22,11,2013,2013-11-22 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 5,60",22,11,2013,2013-11-22 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,00",22,11,2013,2013-11-22 00:00:00
Alface Americana,Ibiúna,"R$ 8,00",22,11,2013,2013-11-22 00:00:00
Alface Crespa,Ibiúna,"R$ 5,00",22,11,2013,2013-11-22 00:00:00
Alface Lisa,Ibiúna,"R$ 5,00",22,11,2013,2013-11-22 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 10,25",29,11,2013,2013-11-29 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 6,25",29,11,2013,2013-11-29 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,50",29,11,2013,2013-11-29 00:00:00
Alface Americana,Ibiúna,"R$ 11,00",29,11,2013,2013-11-29 00:00:00
Alface Crespa,Ibiúna,"R$ 7,00",29,11,2013,2013-11-29 00:00:00
Alface Lisa,Ibiúna,"R$ 7,00",29,11,2013,2013-11-29 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 8,67",4,12,2013,2013-12-04 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 6,33",4,12,2013,2013-12-04 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,67",4,12,2013,2013-12-04 00:00:00
Alface Americana,Ibiúna,"R$ 9,00",4,12,2013,2013-12-04 00:00:00
Alface Crespa,Ibiúna,"R$ 8,00",4,12,2013,2013-12-04 00:00:00
Alface Lisa,Ibiúna,"R$ 8,00",4,12,2013,2013-12-04 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 10,00",13,12,2013,2013-12-13 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 8,00",13,12,2013,2013-12-13 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 8,67",13,12,2013,2013-12-13 00:00:00
Alface Americana,Ibiúna,"R$ 7,50",13,12,2013,2013-12-13 00:00:00
Alface Crespa,Ibiúna,"R$ 5,00",13,12,2013,2013-12-13 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 10,60",19,12,2013,2013-12-19 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 8,67",19,12,2013,2013-12-19 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 8,50",19,12,2013,2013-12-19 00:00:00
Alface Americana,Ibiúna,"R$ 12,00",19,12,2013,2013-12-19 00:00:00
Alface Crespa,Ibiúna,"R$ 8,00",19,12,2013,2013-12-19 00:00:00
Alface Lisa,Ibiúna,"R$ 10,00",19,12,2013,2013-12-19 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 8,00",23,12,2013,2013-12-23 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 9,33",27,12,2013,2013-12-27 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 8,33",27,12,2013,2013-12-27 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,00",27,12,2013,2013-12-27 00:00:00
Alface Americana,Ibiúna,"R$ 9,00",27,12,2013,2013-12-27 00:00:00
Alface Crespa,Ibiúna,"R$ 4,00",27,12,2013,2013-12-27 00:00:00
Alface Lisa,Ibiúna,"R$ 5,00",27,12,2013,2013-12-27 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 9,33",3,1,2014,2014-01-03 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 8,33",3,1,2014,2014-01-03 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,50",3,1,2014,2014-01-03 00:00:00
Alface Americana,Ibiúna,"R$ 9,00",3,1,2014,2014-01-03 00:00:00
Alface Crespa,Ibiúna,"R$ 4,00",3,1,2014,2014-01-03 00:00:00
Alface Lisa,Ibiúna,"R$ 5,00",3,1,2014,2014-01-03 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 8,50",10,1,2014,2014-01-10 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 7,20",10,1,2014,2014-01-10 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,75",10,1,2014,2014-01-10 00:00:00
Alface Americana,Ibiúna,"R$ 6,40",10,1,2014,2014-01-10 00:00:00
Alface Crespa,Ibiúna,"R$ 5,75",10,1,2014,2014-01-10 00:00:00
Alface Lisa,Ibiúna,"R$ 6,00",10,1,2014,2014-01-10 00:00:00
